I (A);B (mT)
0.72;45.6
0.84;46.05
0.94;48.25
1.04;49.14
1.16;50.02
1.27;51.57
1.41;52.67
1.53;53.55
1.65;54.66
1.76;56.2
1.88;58.63
2.07;59.96
2.26;62.61
2.53;64.82
2.71;66.81
2.85;68.13
2.96;69.23
3.04;70.12
3.15;71.88
3.36;73.43
3.48;74.31
3.56;75.42
3.68;76.74
3.81;77.85
3.81;77.85
3.92;79.17
3.99;80.06
4.08;80.72
4.18;81.82
4.29;82.93
4.39;84.25
4.39;84.25
4.48;85.14
4.59;86.68
4.64;87.79
4.73;88.23
4.84;89.55
4.91;90.66
5.02;92.42
