I (A);B (mT)
2;2.43
2.12;3.53
2.2;4.64
2.31;5.74
2.4;5.52
2.49;6.85
2.61;8.39
2.71;8.61
2.82;9.5
2.98;9.94
3.07;11.04
3.19;11.93
3.27;12.81
3.39;13.69
3.54;14.58
3.64;15.24
3.75;16.12
3.85;17
3.96;17.89
4.06;18.77
4.19;19.66
4.28;20.76
4.39;22.08
4.39;22.08
4.49;23.19
4.65;24.29
4.76;24.73
4.93;26.5
