I (A);B (mT)
1.99;1.11
2.21;1.84
2.37;2.76
2.55;3.69
2.72;4.42
2.9;5.35
3.08;5.71
3.28;6.64
3.46;7.19
3.63;8.29
3.82;9.03
4.02;9.95
4.18;10.88
4.37;11.43
4.56;12.35
4.71;13.09
4.89;14.01
