I (A);B (mT)
1.96;1.29
2.05;1.66
2.12;1.84
2.22;2.21
2.27;2.76
2.41;3.13
2.41;3.13
2.59;3.87
2.63;4.06
2.63;4.06
2.69;4.24
2.84;4.61
2.84;4.61
2.94;5.35
2.94;5.35
3.1;5.9
3.1;5.9
3.18;6.27
3.26;6.64
3.33;6.82
3.45;7.56
3.55;7.93
3.65;7.93
3.72;8.29
3.84;8.85
3.94;9.03
4.09;10.14
4.09;10.14
4.23;10.51
4.32;11.06
4.39;11.24
4.47;12.35
4.58;11.98
4.64;12.53
4.73;13.46
4.82;13.46
4.9;14.56
5.01;14.75
