I (A);B (mT)
2.02;5.74
2.15;7.07
2.25;7.95
2.34;9.28
2.45;10.16
2.56;11.48
2.69;13.25
2.84;14.35
2.93;15.68
3.08;16.56
3.21;17.89
3.34;19.66
3.49;20.98
3.6;22.53
3.74;23.63
3.85;25.18
3.93;26.28
4.02;27.16
4.09;28.05
4.25;29.37
4.39;31.36
4.51;32.24
4.62;33.35
4.73;35.11
4.84;36.44
4.91;37.54
5;38.87
